SDC Deal Number,Company Name,Exit Type,Date Announced / Filed,Date Completed / Issued,Ticker,"Proceeds Amt + Overallot Sold All Markets
(USD)",Acquiror Name,"Rank Value Incl. Net Debt Sum
(USD)","Rank Value Incl. Net Debt Average
(USD)","Rank Value Incl. Net Debt Median
(USD)","M&A Deal Value Average
(USD)","M&A Deal Value Sum
(USD)","M&A Deal Value Median
(USD)","Value of Earnout Average
(USD)","Value of Earnout Sum
(USD)","Value of Earnout Median
(USD)","Purchase Price Average
(USD)","Purchase Price Sum
(USD)","Purchase Price Median
(USD)",Time to Exit (Years),No. of Deals,No. of IPOs,No. of Deals w/ M&A Deal Value,Exit Portfolio Company TRBC Industry Group,Exit Portfolio Company TRBC Industry,Exit Portfolio Company TRBC Economic Sector,Exit Portfolio Company TRBC Business Sector,Exit Portfolio Company TRBC Activity,Exit Date Completed / Issued,"Exit Portfolio Company Nation
('|')",Exit Date Announced / Filed,Exit Date Completed / Issued,Exit Date Completed / Issued,Exit Date Announced / Filed,Exit Date Completed / Issued,Exit Date Completed / Issued,Exit Date Announced / Filed,Exit Date Completed / Issued
154086899862,Zomato Ltd,IPO,10/09/2020,16/07/2021,ZOMATO,"1,256.60",,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.7,1,1,0,Software & IT Services,Online Services,Technology,Software & IT Services,Online Services (NEC),16/07/2021,India,10/09/2020,16/07/2021,16/07/2021,10/09/2020,16/07/2021,16/07/2021,10/09/2020,16/07/2021
154084773422,WNS (Holdings) Ltd,IPO,03/07/2006,25/07/2006,WNS,255.27,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.2,1,1,0,Professional & Commercial Services,Business Support Services,Industrials,Industrial & Commercial Services,Data Processing Services,25/07/2006,India,03/07/2006,25/07/2006,25/07/2006,03/07/2006,25/07/2006,25/07/2006,03/07/2006,25/07/2006
154088182464,Waaree Energies Ltd,IPO,02/08/2023,23/10/2024,WAARE,514.11,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.2,1,1,0,Electric Utilities & IPPs,Electric Utilities,Utilities,Utilities,Solar Electric Utilities,23/10/2024,India,02/08/2023,23/10/2024,23/10/2024,02/08/2023,23/10/2024,23/10/2024,02/08/2023,23/10/2024
154088353358,Unicommerce eSolutions Pvt Ltd,IPO,06/01/2024,08/08/2024,UNIECO,32.93,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.2,1,1,0,Software & IT Services,IT Services & Consulting,Technology,Software & IT Services,IT Services & Consulting (NEC),08/08/2024,India,06/01/2024,08/08/2024,08/08/2024,06/01/2024,08/08/2024,08/08/2024,06/01/2024,08/08/2024
154084922774,Ufo Moviez Ltd,IPO,01/10/2014,12/05/2015,UFO,93.55,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.3,1,1,0,Media & Publishing,Entertainment Production,Consumer Cyclicals,Cyclical Consumer Services,Entertainment Production (NEC),12/05/2015,India,01/10/2014,12/05/2015,12/05/2015,01/10/2014,12/05/2015,12/05/2015,01/10/2014,12/05/2015
154084809596,TD Power Systems Ltd,IPO,24/02/2011,08/09/2011,TDPOWE,49.15,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,1,1,0,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Heavy Electrical Equipment,Industrials,Industrial Goods,Heavy Electrical Equipment (NEC),08/09/2011,India,24/02/2011,08/09/2011,08/09/2011,24/02/2011,08/09/2011,08/09/2011,24/02/2011,08/09/2011
154087203296,Bundl Technologies Pvt Ltd,IPO,26/09/2024,08/11/2024,SWIGGY,"1,342.41",,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.4,1,1,0,Software & IT Services,Online Services,Technology,Software & IT Services,Online Services (NEC),08/11/2024,India,26/09/2024,08/11/2024,08/11/2024,26/09/2024,08/11/2024,08/11/2024,26/09/2024,08/11/2024
154087878511,Stanley Lifestyles Ltd,IPO,04/09/2023,25/06/2024,STAN,64.39,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.8,1,1,0,Textiles & Apparel,Apparel & Accessories,Consumer Cyclicals,Cyclical Consumer Products,Apparel & Accessories (NEC),25/06/2024,India,04/09/2023,25/06/2024,25/06/2024,04/09/2023,25/06/2024,25/06/2024,04/09/2023,25/06/2024
154084810237,"Speciality Restaurants Pvt., Ltd.",IPO,14/03/2011,22/05/2012,SPRE,31.82,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.3,1,1,0,Hotels & Entertainment Services,Restaurants & Bars,Consumer Cyclicals,Cyclical Consumer Services,Restaurants & Bars (NEC),22/05/2012,India,14/03/2011,22/05/2012,22/05/2012,14/03/2011,22/05/2012,22/05/2012,14/03/2011,22/05/2012
154087521338,Signatureglobal (India) Pvt Ltd,IPO,14/02/2022,22/09/2023,SIGNAT,87.98,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.4,1,1,0,Banking Services,Corporate Financial Services,Financials,Banking & Investment Services,Corporate Financial Services (NEC),22/09/2023,India,14/02/2022,22/09/2023,22/09/2023,14/02/2022,22/09/2023,22/09/2023,14/02/2022,22/09/2023
154084850698,Shriram Properties Ltd,IPO,30/09/2009,10/12/2021,SHRIR,79.31,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.9,1,1,0,Real Estate Operations,"Real Estate Rental, Development & Operations",Real Estate,Real Estate,"Real Estate Rental, Development & Operations (NEC)",10/12/2021,India,30/09/2009,10/12/2021,10/12/2021,30/09/2009,10/12/2021,10/12/2021,30/09/2009,10/12/2021
154084731471,Shoppers Stop Ltd.,IPO,15/04/2005,05/05/2005,SHOPER,38.12,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.1,1,1,0,Diversified Retail,Department Stores,Consumer Cyclicals,Retailers,Department Stores (NEC),05/05/2005,India,15/04/2005,05/05/2005,05/05/2005,15/04/2005,05/05/2005,05/05/2005,15/04/2005,05/05/2005
154085377261,Sbi Cards & Payment Services Limited,IPO,26/11/2019,06/03/2020,SBICAR,"1,399.27",,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,1,1,0,Banking Services,Consumer Lending,Financials,Banking & Investment Services,Consumer Leasing,06/03/2020,India,26/11/2019,06/03/2020,06/03/2020,26/11/2019,06/03/2020,06/03/2020,26/11/2019,06/03/2020
154084934459,Sadbhav Infrastructure Projects Ltd,IPO,04/12/2014,08/09/2015,SADBHI,74.17,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.0,1,1,0,Construction & Engineering,Construction & Engineering,Industrials,Industrial & Commercial Services,Construction & Engineering (NEC),08/09/2015,India,04/12/2014,08/09/2015,08/09/2015,04/12/2014,08/09/2015,08/09/2015,04/12/2014,08/09/2015
154084737579,Punj Lloyd Ltd,IPO,18/11/2005,17/12/2005,PUNJL,141.96,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.1,1,1,0,Construction & Engineering,Construction & Engineering,Industrials,Industrial & Commercial Services,Construction & Engineering (NEC),17/12/2005,India,18/11/2005,17/12/2005,17/12/2005,18/11/2005,17/12/2005,17/12/2005,18/11/2005,17/12/2005
154088410201,Premier Energies Ltd,IPO,07/03/2024,29/08/2024,PREMIE,337.50,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.9,1,1,0,Electric Utilities & IPPs,Electric Utilities,Utilities,Utilities,Solar Electric Utilities,29/08/2024,India,07/03/2024,29/08/2024,29/08/2024,07/03/2024,29/08/2024,29/08/2024,07/03/2024,29/08/2024
154084844348,PNC Infratech Ltd,IPO,25/09/2014,25/05/2015,PNCINF,76.94,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.4,1,1,0,Construction & Engineering,Construction & Engineering,Industrials,Industrial & Commercial Services,Construction & Engineering (NEC),25/05/2015,India,25/09/2014,25/05/2015,25/05/2015,25/09/2014,25/05/2015,25/05/2015,25/09/2014,25/05/2015
154084825771,Persistent Systems Ltd,IPO,25/10/2007,17/03/2010,PERSIS,37.03,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.8,1,1,0,Software & IT Services,IT Services & Consulting,Technology,Software & IT Services,IT Services & Consulting (NEC),17/03/2010,India,25/10/2007,17/03/2010,17/03/2010,25/10/2007,17/03/2010,17/03/2010,25/10/2007,17/03/2010
154085505560,Paytm E-Commerce Pvt Ltd,IPO,15/07/2021,10/11/2021,PAYT,"2,459.74",,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.6,1,1,0,Software & IT Services,Software,Technology,Software & IT Services,Mobile Application Software,10/11/2021,India,15/07/2021,10/11/2021,10/11/2021,15/07/2021,10/11/2021,10/11/2021,15/07/2021,10/11/2021
154084868776,Ortel Communications Ltd,IPO,16/03/2011,19/03/2015,ORTEL,34.76,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.5,1,1,0,Media & Publishing,Broadcasting,Consumer Cyclicals,Cyclical Consumer Services,Broadcasting (NEC),19/03/2015,India,16/03/2011,19/03/2015,19/03/2015,16/03/2011,19/03/2015,19/03/2015,16/03/2011,19/03/2015
154087121695,Ola Electric Mobility Pvt Ltd,IPO,04/10/2019,06/08/2024,OLAELE,732.29,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.4,1,1,0,Automobiles & Auto Parts,"Auto, Truck & Motorcycle Parts",Consumer Cyclicals,Automobiles & Auto Parts,"Auto, Truck & Motorcycle Parts (NEC)",06/08/2024,India,04/10/2019,06/08/2024,06/08/2024,04/10/2019,06/08/2024,06/08/2024,04/10/2019,06/08/2024
154085131336,IndiaMART InterMESH Ltd,IPO,15/06/2018,15/06/2018,N\A,73.47,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.4,1,1,0,Software & IT Services,Online Services,Technology,Software & IT Services,E-commerce & Auction Services,15/06/2018,India,15/06/2018,15/06/2018,15/06/2018,15/06/2018,15/06/2018,15/06/2018,15/06/2018,15/06/2018
154085429462,Computer Age Management Services Limited,IPO,11/07/2019,23/09/2020,N\A,305.06,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.0,1,1,0,Investment Banking & Investment Services,Financial & Commodity Market Operators & Service Providers,Financials,Banking & Investment Services,Financial & Commodity Market Operators & Service Providers (NEC),23/09/2020,India,11/07/2019,23/09/2020,23/09/2020,11/07/2019,23/09/2020,23/09/2020,11/07/2019,23/09/2020
154087022930,Nykaa E-Retail Pvt Ltd,IPO,06/01/2021,01/11/2021,NYKAA,715.23,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.6,1,1,0,Specialty Retailers,Miscellaneous Specialty Retailers,Consumer Cyclicals,Retailers,Personal Care Products Retailers,01/11/2021,India,06/01/2021,01/11/2021,01/11/2021,06/01/2021,01/11/2021,01/11/2021,06/01/2021,01/11/2021
154084940428,Nazara Technologies Limited,IPO,11/09/2017,19/03/2021,NAZARA,80.51,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,1,1,0,Software & IT Services,Software,Technology,Software & IT Services,Software (NEC),19/03/2021,India,11/09/2017,19/03/2021,19/03/2021,11/09/2017,19/03/2021,19/03/2021,11/09/2017,19/03/2021
154088176065,Akums Drugs & Pharmaceuticals Ltd,IPO,23/09/2023,01/08/2024,N/P,221.99,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.6,1,1,0,Pharmaceuticals,Pharmaceuticals,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals (NEC),01/08/2024,India,23/09/2023,01/08/2024,01/08/2024,23/09/2023,01/08/2024,01/08/2024,23/09/2023,01/08/2024
154084895860,Aurangabad Electricals Ltd,IPO,04/10/2011,04/10/2011,N/A,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.5,1,1,0,Automobiles & Auto Parts,"Auto, Truck & Motorcycle Parts",Consumer Cyclicals,Automobiles & Auto Parts,"Auto, Truck & Motorcycle Parts (NEC)",04/10/2011,India,04/10/2011,04/10/2011,04/10/2011,04/10/2011,04/10/2011,04/10/2011,04/10/2011,04/10/2011
154084876695,Nuziveedu Seeds Ltd,IPO,01/11/2011,01/11/2011,N/A,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.8,1,1,0,Food & Tobacco,Fishing & Farming,Consumer Non-Cyclicals,Food & Beverages,Fishing & Farming (NEC),01/11/2011,India,01/11/2011,01/11/2011,01/11/2011,01/11/2011,01/11/2011,01/11/2011,01/11/2011,01/11/2011
154084902980,PME Power Solutions India Ltd,IPO,21/07/2011,21/07/2011,N/A,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.7,1,1,0,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Heavy Electrical Equipment,Industrials,Industrial Goods,Heavy Electrical Equipment (NEC),21/07/2011,India,21/07/2011,21/07/2011,21/07/2011,21/07/2011,21/07/2011,21/07/2011,21/07/2011,21/07/2011
154084900474,ACB (India) Ltd,IPO,01/06/2011,01/06/2011,N/A,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.2,1,1,0,Coal,Coal,Energy,Energy - Fossil Fuels,Coal (NEC),01/06/2011,India,01/06/2011,01/06/2011,01/06/2011,01/06/2011,01/06/2011,01/06/2011,01/06/2011,01/06/2011
154084810006,Powerica Ltd,IPO,14/03/2011,14/03/2011,N/A,310.70,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.4,1,1,0,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Heavy Electrical Equipment,Industrials,Industrial Goods,Heavy Electrical Equipment (NEC),14/03/2011,India,14/03/2011,14/03/2011,14/03/2011,14/03/2011,14/03/2011,14/03/2011,14/03/2011,14/03/2011
154084821206,International Tractors Ltd,IPO,28/07/2008,28/07/2008,N/A,100.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.3,1,1,0,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Heavy Machinery & Vehicles,Industrials,Industrial Goods,Agricultural Machinery,28/07/2008,India,28/07/2008,28/07/2008,28/07/2008,28/07/2008,28/07/2008,28/07/2008,28/07/2008,28/07/2008
154084923987,Ind Barath Power Infra Ltd,IPO,01/12/2014,01/12/2014,N/A,242.15,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.4,1,1,0,Electric Utilities & IPPs,Electric Utilities,Utilities,Utilities,Electric Utilities (NEC),01/12/2014,India,01/12/2014,01/12/2014,01/12/2014,01/12/2014,01/12/2014,01/12/2014,01/12/2014,01/12/2014
154084667787,Monte Carlo Fashions Ltd,IPO,06/11/2012,09/12/2014,N/A,56.64,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.5,1,1,0,Specialty Retailers,Apparel & Accessories Retailers,Consumer Cyclicals,Retailers,Men's Apparel Retailers,09/12/2014,India,06/11/2012,09/12/2014,09/12/2014,06/11/2012,09/12/2014,09/12/2014,06/11/2012,09/12/2014
154084879961,SMC Global Securities Ltd,IPO,02/11/2012,02/11/2012,N/A,23.23,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.8,1,1,0,Investment Banking & Investment Services,Diversified Investment Services,Financials,Banking & Investment Services,Diversified Investment Services,02/11/2012,India,02/11/2012,02/11/2012,02/11/2012,02/11/2012,02/11/2012,02/11/2012,02/11/2012,02/11/2012
154084880063,"Repco Home Finance, Ltd.",IPO,30/09/2011,26/03/2013,N/A,49.64,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.2,1,1,0,Banking Services,Consumer Lending,Financials,Banking & Investment Services,Consumer Lending (NEC),26/03/2013,India,30/09/2011,26/03/2013,26/03/2013,30/09/2011,26/03/2013,26/03/2013,30/09/2011,26/03/2013
154087293812,India1 Payments Ltd,IPO,07/09/2021,07/09/2021,N/A,20.42,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.8,1,1,0,Office Equipment,Office Equipment,Technology,Technology Equipment,Point of Sale Systems,07/09/2021,India,07/09/2021,07/09/2021,07/09/2021,07/09/2021,07/09/2021,07/09/2021,07/09/2021,07/09/2021
154087253281,SJS Enterprises Ltd,IPO,27/07/2021,03/11/2021,N/A,107.46,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.1,1,1,0,Personal & Household Products & Services,Personal Services,Consumer Non-Cyclicals,Personal & Household Products & Services,Consumer Repair Services,03/11/2021,India,27/07/2021,03/11/2021,03/11/2021,27/07/2021,03/11/2021,03/11/2021,27/07/2021,03/11/2021
154086907487,Delhivery Pvt Ltd,IPO,16/09/2020,13/05/2022,N/A,675.89,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.6,1,1,0,Freight & Logistics Services,"Courier, Postal, Air Freight & Land-based Logistics",Industrials,Transportation,Freight Logistics,13/05/2022,India,16/09/2020,13/05/2022,13/05/2022,16/09/2020,13/05/2022,13/05/2022,16/09/2020,13/05/2022
154087231392,Five-Star Business Finance Ltd,IPO,07/07/2021,11/11/2022,N/A,198.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.5,1,1,0,Banking Services,Consumer Lending,Financials,Banking & Investment Services,Consumer Lending (NEC),11/11/2022,India,07/07/2021,11/11/2022,11/11/2022,07/07/2021,11/11/2022,11/11/2022,07/07/2021,11/11/2022
