Investee Company Name,Investee Company Nation,Investee Company TRBC Economic Sector,Investment Date,Round Number,Investment Stage,Firm Investor Name,Fund Investor Name,"Investor Equity Total
(USD, Millions)","Disclosed Fund Equity Contribution
(USD, Millions)","Round Equity Total
(USD, Millions)","Disclosed Debt Contribution
(USD, Millions)","Deal Value
(USD, Millions)","Deal Rank Value
(USD, Millions)"
1MG Technologies Pvt Ltd,India,Consumer Cyclicals,2019-04-23,5,Expansion,HBM Partners AG,HBM Partners AG - Unspecified Fund,5,0,39,0,0,39
1MG Technologies Pvt Ltd,India,Consumer Cyclicals,2019-04-23,5,Expansion,Kae Capital,Kae Capital Fund II,5,0,39,0,0,39
1MG Technologies Pvt Ltd,India,Consumer Cyclicals,2019-04-23,5,Expansion,Peak Xv Partners,Sequoia Capital India Growth Fund II LP,5,0,39,0,0,39
1MG Technologies Pvt Ltd,India,Consumer Cyclicals,2019-04-23,5,Expansion,Undisclosed Firm,Undisclosed Fund,5,0,39,0,0,39
1MG Technologies Pvt Ltd,India,Consumer Cyclicals,2019-04-23,5,Expansion,Undisclosed Firm,Undisclosed Fund,5,0,39,0,0,39
1MG Technologies Pvt Ltd,India,Consumer Cyclicals,2019-04-23,5,Expansion,Undisclosed Firm,Undisclosed Fund,5,0,39,0,0,39
1MG Technologies Pvt Ltd,India,Consumer Cyclicals,2019-04-23,5,Expansion,Undisclosed Firm,Undisclosed Fund,5,0,39,0,0,39
1MG Technologies Pvt Ltd,India,Consumer Cyclicals,2019-04-23,5,Expansion,Undisclosed Firm,Undisclosed Fund,5,0,39,0,0,39
1MG Technologies Pvt Ltd,India,Consumer Cyclicals,2019-06-28,6,Expansion,HBM Partners AG,HBM Partners AG - Unspecified Fund,9,0,70,0,0,70
1MG Technologies Pvt Ltd,India,Consumer Cyclicals,2019-06-28,6,Expansion,International Finance Corp,International Finance Corp - Unspecified Fund,9,0,70,0,0,70
1MG Technologies Pvt Ltd,India,Consumer Cyclicals,2019-06-28,6,Expansion,Kae Capital,Kae Capital Fund II,9,0,70,0,0,70
1MG Technologies Pvt Ltd,India,Consumer Cyclicals,2019-06-28,6,Expansion,Maverick Capital Ltd,Maverick Capital Equity Partners - Unspecified Fund,9,0,70,0,0,70
1MG Technologies Pvt Ltd,India,Consumer Cyclicals,2019-06-28,6,Expansion,Omidyar Network Commons LLC,Omidyar Network Fund LLC,9,0,70,0,0,70
1MG Technologies Pvt Ltd,India,Consumer Cyclicals,2019-06-28,6,Expansion,Sequoia Capital Operations LLC,Sequoia Capital - Unspecified Fund,9,0,70,0,0,70
1MG Technologies Pvt Ltd,India,Consumer Cyclicals,2019-06-28,6,Expansion,Undisclosed Firm,Undisclosed Fund,9,0,70,0,0,70
1MG Technologies Pvt Ltd,India,Consumer Cyclicals,2019-06-28,6,Expansion,Undisclosed Firm,Undisclosed Fund,9,0,70,0,0,70
