"sdc_deal_number","company_name","exit_type","date_announced_filed","date_completed_issued","ticker","proceeds_amt_overallot_sold_all_markets_usd","acquiror_name","rank_value_incl_net_debt_sum_usd","rank_value_incl_net_debt_average_usd","rank_value_incl_net_debt_median_usd","m_a_deal_value_average_usd","m_a_deal_value_sum_usd","m_a_deal_value_median_usd","value_of_earnout_average_usd","value_of_earnout_sum_usd","value_of_earnout_median_usd","purchase_price_average_usd","purchase_price_sum_usd","purchase_price_median_usd","time_to_exit_years","no_of_deals","no_of_ipos","no_of_deals_w_m_a_deal_value","exit_portfolio_company_trbc_industry_group","exit_portfolio_company_trbc_industry","exit_portfolio_company_trbc_economic_sector","exit_portfolio_company_trbc_business_sector","exit_portfolio_company_trbc_activity","exit_date_completed_issued_30","exit_portfolio_company_nation","exit_date_announced_filed_32","exit_date_completed_issued_33","exit_date_completed_issued_34","exit_date_announced_filed_35","exit_date_completed_issued_36","exit_date_completed_issued_37","exit_date_announced_filed_38","exit_date_completed_issued_39","exit_year","company","exit_value","sector"
"154086899862","Zomato Ltd","IPO","10/09/2020","16/07/2021","ZOMATO",1256.6,NA,0,0,0,0,0,0,0,0,0,0,0,0,7.7,1,1,0,"Software & IT Services","Online Services","Technology","Software & IT Services","Online Services (NEC)","16/07/2021","India","10/09/2020","16/07/2021","16/07/2021","10/09/2020","16/07/2021","16/07/2021","10/09/2020","16/07/2021",NA,"Zomato Ltd",154086899862,"Software & IT Services"
"154084773422","WNS (Holdings) Ltd","IPO","03/07/2006","25/07/2006","WNS",255.27,NA,0,0,0,0,0,0,0,0,0,0,0,0,4.2,1,1,0,"Professional & Commercial Services","Business Support Services","Industrials","Industrial & Commercial Services","Data Processing Services","25/07/2006","India","03/07/2006","25/07/2006","25/07/2006","03/07/2006","25/07/2006","25/07/2006","03/07/2006","25/07/2006",NA,"WNS (Holdings) Ltd",154084773422,"Professional & Commercial Services"
"154088182464","Waaree Energies Ltd","IPO","02/08/2023","23/10/2024","WAARE",514.11,NA,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1,1,0,"Electric Utilities & IPPs","Electric Utilities","Utilities","Utilities","Solar Electric Utilities","23/10/2024","India","02/08/2023","23/10/2024","23/10/2024","02/08/2023","23/10/2024","23/10/2024","02/08/2023","23/10/2024",NA,"Waaree Energies Ltd",154088182464,"Electric Utilities & IPPs"
"154088353358","Unicommerce eSolutions Pvt Ltd","IPO","06/01/2024","08/08/2024","UNIECO",32.93,NA,0,0,0,0,0,0,0,0,0,0,0,0,11.2,1,1,0,"Software & IT Services","IT Services & Consulting","Technology","Software & IT Services","IT Services & Consulting (NEC)","08/08/2024","India","06/01/2024","08/08/2024","08/08/2024","06/01/2024","08/08/2024","08/08/2024","06/01/2024","08/08/2024",NA,"Unicommerce eSolutions Pvt Ltd",154088353358,"Software & IT Services"
"154084922774","Ufo Moviez Ltd","IPO","01/10/2014","12/05/2015","UFO",93.55,NA,0,0,0,0,0,0,0,0,0,0,0,0,8.3,1,1,0,"Media & Publishing","Entertainment Production","Consumer Cyclicals","Cyclical Consumer Services","Entertainment Production (NEC)","12/05/2015","India","01/10/2014","12/05/2015","12/05/2015","01/10/2014","12/05/2015","12/05/2015","01/10/2014","12/05/2015",NA,"Ufo Moviez Ltd",154084922774,"Media & Publishing"
"154084809596","TD Power Systems Ltd","IPO","24/02/2011","08/09/2011","TDPOWE",49.15,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"Machinery, Tools, Heavy Vehicles, Trains & Ships","Heavy Electrical Equipment","Industrials","Industrial Goods","Heavy Electrical Equipment (NEC)","08/09/2011","India","24/02/2011","08/09/2011","08/09/2011","24/02/2011","08/09/2011","08/09/2011","24/02/2011","08/09/2011",NA,"TD Power Systems Ltd",154084809596,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
"154087203296","Bundl Technologies Pvt Ltd","IPO","26/09/2024","08/11/2024","SWIGGY",1342.41,NA,0,0,0,0,0,0,0,0,0,0,0,0,9.4,1,1,0,"Software & IT Services","Online Services","Technology","Software & IT Services","Online Services (NEC)","08/11/2024","India","26/09/2024","08/11/2024","08/11/2024","26/09/2024","08/11/2024","08/11/2024","26/09/2024","08/11/2024",NA,"Bundl Technologies Pvt Ltd",154087203296,"Software & IT Services"
"154087878511","Stanley Lifestyles Ltd","IPO","04/09/2023","25/06/2024","STAN",64.39,NA,0,0,0,0,0,0,0,0,0,0,0,0,5.8,1,1,0,"Textiles & Apparel","Apparel & Accessories","Consumer Cyclicals","Cyclical Consumer Products","Apparel & Accessories (NEC)","25/06/2024","India","04/09/2023","25/06/2024","25/06/2024","04/09/2023","25/06/2024","25/06/2024","04/09/2023","25/06/2024",NA,"Stanley Lifestyles Ltd",154087878511,"Textiles & Apparel"
"154084810237","Speciality Restaurants Pvt., Ltd.","IPO","14/03/2011","22/05/2012","SPRE",31.82,NA,0,0,0,0,0,0,0,0,0,0,0,0,4.3,1,1,0,"Hotels & Entertainment Services","Restaurants & Bars","Consumer Cyclicals","Cyclical Consumer Services","Restaurants & Bars (NEC)","22/05/2012","India","14/03/2011","22/05/2012","22/05/2012","14/03/2011","22/05/2012","22/05/2012","14/03/2011","22/05/2012",NA,"Speciality Restaurants Pvt., Ltd.",154084810237,"Hotels & Entertainment Services"
"154087521338","Signatureglobal (India) Pvt Ltd","IPO","14/02/2022","22/09/2023","SIGNAT",87.98,NA,0,0,0,0,0,0,0,0,0,0,0,0,6.4,1,1,0,"Banking Services","Corporate Financial Services","Financials","Banking & Investment Services","Corporate Financial Services (NEC)","22/09/2023","India","14/02/2022","22/09/2023","22/09/2023","14/02/2022","22/09/2023","22/09/2023","14/02/2022","22/09/2023",NA,"Signatureglobal (India) Pvt Ltd",154087521338,"Banking Services"
