"investee_company_name","investee_company_nation","investee_company_trbc_economic_sector","investment_date","round_number","investment_stage","firm_investor_name","fund_investor_name","investor_equity_total_usd_millions","disclosed_fund_equity_contribution_usd_millions","round_equity_total_usd_millions","disclosed_debt_contribution_usd_millions","deal_value_usd_millions","deal_rank_value_usd_millions","investment_year","sector","stage","company","deal_value","stage_category"
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2019-04-23,5,"Expansion","HBM Partners AG","HBM Partners AG - Unspecified Fund",5,0,39,0,0,39,2019,"Consumer Cyclicals",5,"1MG Technologies Pvt Ltd",5,"Other"
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2019-04-23,5,"Expansion","Kae Capital","Kae Capital Fund II",5,0,39,0,0,39,2019,"Consumer Cyclicals",5,"1MG Technologies Pvt Ltd",5,"Other"
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2019-04-23,5,"Expansion","Peak Xv Partners","Sequoia Capital India Growth Fund II LP",5,0,39,0,0,39,2019,"Consumer Cyclicals",5,"1MG Technologies Pvt Ltd",5,"Other"
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2019-04-23,5,"Expansion","Undisclosed Firm","Undisclosed Fund",5,0,39,0,0,39,2019,"Consumer Cyclicals",5,"1MG Technologies Pvt Ltd",5,"Other"
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2019-04-23,5,"Expansion","Undisclosed Firm","Undisclosed Fund",5,0,39,0,0,39,2019,"Consumer Cyclicals",5,"1MG Technologies Pvt Ltd",5,"Other"
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2019-04-23,5,"Expansion","Undisclosed Firm","Undisclosed Fund",5,0,39,0,0,39,2019,"Consumer Cyclicals",5,"1MG Technologies Pvt Ltd",5,"Other"
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2019-04-23,5,"Expansion","Undisclosed Firm","Undisclosed Fund",5,0,39,0,0,39,2019,"Consumer Cyclicals",5,"1MG Technologies Pvt Ltd",5,"Other"
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2019-04-23,5,"Expansion","Undisclosed Firm","Undisclosed Fund",5,0,39,0,0,39,2019,"Consumer Cyclicals",5,"1MG Technologies Pvt Ltd",5,"Other"
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2019-06-28,6,"Expansion","HBM Partners AG","HBM Partners AG - Unspecified Fund",9,0,70,0,0,70,2019,"Consumer Cyclicals",6,"1MG Technologies Pvt Ltd",9,"Other"
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2019-06-28,6,"Expansion","International Finance Corp","International Finance Corp - Unspecified Fund",9,0,70,0,0,70,2019,"Consumer Cyclicals",6,"1MG Technologies Pvt Ltd",9,"Other"
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2019-06-28,6,"Expansion","Kae Capital","Kae Capital Fund II",9,0,70,0,0,70,2019,"Consumer Cyclicals",6,"1MG Technologies Pvt Ltd",9,"Other"
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2019-06-28,6,"Expansion","Maverick Capital Ltd","Maverick Capital Equity Partners - Unspecified Fund",9,0,70,0,0,70,2019,"Consumer Cyclicals",6,"1MG Technologies Pvt Ltd",9,"Other"
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2019-06-28,6,"Expansion","Omidyar Network Commons LLC","Omidyar Network Fund LLC",9,0,70,0,0,70,2019,"Consumer Cyclicals",6,"1MG Technologies Pvt Ltd",9,"Other"
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2019-06-28,6,"Expansion","Sequoia Capital Operations LLC","Sequoia Capital - Unspecified Fund",9,0,70,0,0,70,2019,"Consumer Cyclicals",6,"1MG Technologies Pvt Ltd",9,"Other"
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2019-06-28,6,"Expansion","Undisclosed Firm","Undisclosed Fund",9,0,70,0,0,70,2019,"Consumer Cyclicals",6,"1MG Technologies Pvt Ltd",9,"Other"
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2019-06-28,6,"Expansion","Undisclosed Firm","Undisclosed Fund",9,0,70,0,0,70,2019,"Consumer Cyclicals",6,"1MG Technologies Pvt Ltd",9,"Other"
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2022-09-06,7,"Expansion","Undisclosed Firm","Undisclosed Fund",1,0,40,0,0,40,2022,"Consumer Cyclicals",7,"1MG Technologies Pvt Ltd",1,"Other"
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2022-09-06,7,"Expansion","Undisclosed Firm","Undisclosed Fund",32,32,40,0,0,40,2022,"Consumer Cyclicals",7,"1MG Technologies Pvt Ltd",32,"Other"
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2022-09-06,7,"Expansion","Undisclosed Firm","Undisclosed Fund",2,2,40,0,0,40,2022,"Consumer Cyclicals",7,"1MG Technologies Pvt Ltd",2,"Other"
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2022-09-06,7,"Expansion","Undisclosed Firm","Undisclosed Fund",2,2,40,0,0,40,2022,"Consumer Cyclicals",7,"1MG Technologies Pvt Ltd",2,"Other"
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2022-09-06,7,"Expansion","Undisclosed Firm","Undisclosed Fund",2,2,40,0,0,40,2022,"Consumer Cyclicals",7,"1MG Technologies Pvt Ltd",2,"Other"
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2022-09-06,7,"Expansion","Undisclosed Firm","Undisclosed Fund",2,2,40,0,0,40,2022,"Consumer Cyclicals",7,"1MG Technologies Pvt Ltd",2,"Other"
"1t9 Technology Pvt Ltd","India","Financials",2024-02-06,5,"Expansion","100Unicorns","100Unicorns - Unspecified Fund",1,0,10,0,0,10,2024,"Financials",5,"1t9 Technology Pvt Ltd",1,"Other"
"1t9 Technology Pvt Ltd","India","Financials",2024-02-06,5,"Expansion","Gmo Venturepartners Co Ltd","GMO Venture Partners - Unspecified Fund",1,0,10,0,0,10,2024,"Financials",5,"1t9 Technology Pvt Ltd",1,"Other"
"1t9 Technology Pvt Ltd","India","Financials",2024-02-06,5,"Expansion","Prime Venture Partners","Prime Venture Partners - Unspecified Fund",1,0,10,0,0,10,2024,"Financials",5,"1t9 Technology Pvt Ltd",1,"Other"
"1t9 Technology Pvt Ltd","India","Financials",2024-02-06,5,"Expansion","Turbostart Global Events LLP","Turbostart - Unspecified Fund",1,0,10,0,0,10,2024,"Financials",5,"1t9 Technology Pvt Ltd",1,"Other"
"1t9 Technology Pvt Ltd","India","Financials",2024-02-06,5,"Expansion","Undisclosed Firm","Undisclosed Fund",1,0,10,0,0,10,2024,"Financials",5,"1t9 Technology Pvt Ltd",1,"Other"
"1t9 Technology Pvt Ltd","India","Financials",2024-02-06,5,"Expansion","Undisclosed Firm","Undisclosed Fund",1,0,10,0,0,10,2024,"Financials",5,"1t9 Technology Pvt Ltd",1,"Other"
"1t9 Technology Pvt Ltd","India","Financials",2024-02-06,5,"Expansion","Z47","Matrix Partners India IV, L.P.",1,0,10,0,0,10,2024,"Financials",5,"1t9 Technology Pvt Ltd",1,"Other"
