"deal_id","company","sector","stage","investment_year","deal_value","deal_size_category"
1,"1MG Technologies Pvt Ltd","Consumer Cyclicals",5,2019,5,"Micro (<$10M)"
2,"1MG Technologies Pvt Ltd","Consumer Cyclicals",5,2019,5,"Micro (<$10M)"
3,"1MG Technologies Pvt Ltd","Consumer Cyclicals",5,2019,5,"Micro (<$10M)"
4,"1MG Technologies Pvt Ltd","Consumer Cyclicals",5,2019,5,"Micro (<$10M)"
5,"1MG Technologies Pvt Ltd","Consumer Cyclicals",5,2019,5,"Micro (<$10M)"
6,"1MG Technologies Pvt Ltd","Consumer Cyclicals",5,2019,5,"Micro (<$10M)"
7,"1MG Technologies Pvt Ltd","Consumer Cyclicals",5,2019,5,"Micro (<$10M)"
8,"1MG Technologies Pvt Ltd","Consumer Cyclicals",5,2019,5,"Micro (<$10M)"
9,"1MG Technologies Pvt Ltd","Consumer Cyclicals",6,2019,9,"Micro (<$10M)"
10,"1MG Technologies Pvt Ltd","Consumer Cyclicals",6,2019,9,"Micro (<$10M)"
11,"1MG Technologies Pvt Ltd","Consumer Cyclicals",6,2019,9,"Micro (<$10M)"
12,"1MG Technologies Pvt Ltd","Consumer Cyclicals",6,2019,9,"Micro (<$10M)"
13,"1MG Technologies Pvt Ltd","Consumer Cyclicals",6,2019,9,"Micro (<$10M)"
14,"1MG Technologies Pvt Ltd","Consumer Cyclicals",6,2019,9,"Micro (<$10M)"
15,"1MG Technologies Pvt Ltd","Consumer Cyclicals",6,2019,9,"Micro (<$10M)"
16,"1MG Technologies Pvt Ltd","Consumer Cyclicals",6,2019,9,"Micro (<$10M)"
17,"1MG Technologies Pvt Ltd","Consumer Cyclicals",7,2022,1,"Micro (<$10M)"
18,"1MG Technologies Pvt Ltd","Consumer Cyclicals",7,2022,32,"Small ($10-50M)"
19,"1MG Technologies Pvt Ltd","Consumer Cyclicals",7,2022,2,"Micro (<$10M)"
20,"1MG Technologies Pvt Ltd","Consumer Cyclicals",7,2022,2,"Micro (<$10M)"
21,"1MG Technologies Pvt Ltd","Consumer Cyclicals",7,2022,2,"Micro (<$10M)"
22,"1MG Technologies Pvt Ltd","Consumer Cyclicals",7,2022,2,"Micro (<$10M)"
23,"1t9 Technology Pvt Ltd","Financials",5,2024,1,"Micro (<$10M)"
24,"1t9 Technology Pvt Ltd","Financials",5,2024,1,"Micro (<$10M)"
25,"1t9 Technology Pvt Ltd","Financials",5,2024,1,"Micro (<$10M)"
26,"1t9 Technology Pvt Ltd","Financials",5,2024,1,"Micro (<$10M)"
27,"1t9 Technology Pvt Ltd","Financials",5,2024,1,"Micro (<$10M)"
28,"1t9 Technology Pvt Ltd","Financials",5,2024,1,"Micro (<$10M)"
29,"1t9 Technology Pvt Ltd","Financials",5,2024,1,"Micro (<$10M)"
30,"247 Learning Solutions Pvt  Ltd (Aka  24x7 Learning)","Technology",1,2007,4,"Micro (<$10M)"
31,"3C Residential Project","Consumer Cyclicals",1,2012,30,"Small ($10-50M)"
32,"3M India Ltd","Consumer Non-Cyclicals",1,2005,109,"Large ($100-500M)"
33,"4Basecare Genomics Pvt Ltd","Healthcare",2,2024,3,"Micro (<$10M)"
34,"4Basecare Genomics Pvt Ltd","Healthcare",2,2024,3,"Micro (<$10M)"
35,"4Basecare Genomics Pvt Ltd","Healthcare",3,2024,0,"Micro (<$10M)"
36,"5c Network Pvt Ltd","Healthcare",1,2020,1,"Micro (<$10M)"
37,"5c Network Pvt Ltd","Healthcare",1,2020,1,"Micro (<$10M)"
38,"5c Network Pvt Ltd","Healthcare",2,2022,3,"Micro (<$10M)"
39,"5c Network Pvt Ltd","Healthcare",3,2022,2,"Micro (<$10M)"
40,"5c Network Pvt Ltd","Healthcare",3,2022,2,"Micro (<$10M)"
41,"5c Network Pvt Ltd","Healthcare",3,2022,2,"Micro (<$10M)"
42,"60 Decibels Inc","Consumer Cyclicals",1,2021,0,"Micro (<$10M)"
43,"63Ideas Infolabs Pvt Ltd","Technology",4,2019,100,"Large ($100-500M)"
44,"63Ideas Infolabs Pvt Ltd","Technology",6,2019,0,"Micro (<$10M)"
45,"63Ideas Infolabs Pvt Ltd","Technology",6,2019,0,"Micro (<$10M)"
46,"63Ideas Infolabs Pvt Ltd","Technology",8,2020,5,"Micro (<$10M)"
47,"63Ideas Infolabs Pvt Ltd","Technology",8,2020,5,"Micro (<$10M)"
48,"63Ideas Infolabs Pvt Ltd","Technology",9,2020,0,"Micro (<$10M)"
49,"63Ideas Infolabs Pvt Ltd","Technology",9,2020,0,"Micro (<$10M)"
50,"63Ideas Infolabs Pvt Ltd","Technology",10,2022,74,"Medium ($50-100M)"
51,"63Ideas Infolabs Pvt Ltd","Technology",10,2022,74,"Medium ($50-100M)"
