"deal_month","deal_count","total_value","avg_value","month_name"
1,1163,9662,8.30782459157352,"Jan"
2,964,7791,8.08195020746888,"Feb"
3,1222,15413,12.6129296235679,"Mar"
4,1123,10248,9.12555654496883,"Apr"
5,1052,9414,8.94866920152091,"May"
6,1128,11022,9.77127659574468,"Jun"
7,1035,37638,36.3652173913043,"Jul"
8,1159,12236,10.5573770491803,"Aug"
9,1265,13350,10.5533596837945,"Sep"
10,1148,13374,11.6498257839721,"Oct"
11,1011,10375,10.2621167161227,"Nov"
12,1272,13793,10.8435534591195,"Dec"
