"year_quarter","investment_year","deal_quarter","deal_count","total_value"
"2005-Q1",2005,1,17,95
"2005-Q2",2005,2,27,601
"2005-Q3",2005,3,27,183
"2005-Q4",2005,4,32,245
"2006-Q1",2006,1,42,443
"2006-Q2",2006,2,50,622
"2006-Q3",2006,3,47,326
"2006-Q4",2006,4,68,503
"2007-Q1",2007,1,89,697
"2007-Q2",2007,2,60,422
"2007-Q3",2007,3,95,4012
"2007-Q4",2007,4,127,1394
"2008-Q1",2008,1,120,743
"2008-Q2",2008,2,80,1048
"2008-Q3",2008,3,64,1083
"2008-Q4",2008,4,38,268
"2009-Q1",2009,1,42,334
"2009-Q2",2009,2,42,501
"2009-Q3",2009,3,30,198
"2009-Q4",2009,4,67,667
"2010-Q1",2010,1,55,1046
"2010-Q2",2010,2,59,570
"2010-Q3",2010,3,80,1074
"2010-Q4",2010,4,44,438
"2011-Q1",2011,1,88,582
"2011-Q2",2011,2,109,814
"2011-Q3",2011,3,118,1781
"2011-Q4",2011,4,114,960
"2012-Q1",2012,1,145,2449
"2012-Q2",2012,2,108,1150
"2012-Q3",2012,3,99,879
"2012-Q4",2012,4,105,810
"2013-Q1",2013,1,108,879
"2013-Q2",2013,2,110,722
"2013-Q3",2013,3,94,1007
"2013-Q4",2013,4,69,733
"2014-Q1",2014,1,68,692
"2014-Q2",2014,2,81,1126
"2014-Q3",2014,3,78,1777
"2014-Q4",2014,4,86,1803
"2015-Q1",2015,1,118,1557
"2015-Q2",2015,2,108,1436
"2015-Q3",2015,3,139,2111
"2015-Q4",2015,4,79,992
"2016-Q1",2016,1,66,677
"2016-Q2",2016,2,64,854
"2016-Q3",2016,3,102,1109
"2016-Q4",2016,4,63,1073
"2017-Q1",2017,1,83,1457
"2017-Q2",2017,2,52,225
"2017-Q3",2017,3,87,1460
"2017-Q4",2017,4,104,4036
"2018-Q1",2018,1,114,1114
"2018-Q2",2018,2,139,1855
"2018-Q3",2018,3,111,3881
"2018-Q4",2018,4,90,1946
"2019-Q1",2019,1,185,4475
"2019-Q2",2019,2,264,3666
"2019-Q3",2019,3,196,2198
"2019-Q4",2019,4,208,1805
"2020-Q1",2020,1,259,2523
"2020-Q2",2020,2,203,1349
"2020-Q3",2020,3,255,23198
"2020-Q4",2020,4,299,8345
"2021-Q1",2021,1,292,1692
"2021-Q2",2021,2,498,5436
"2021-Q3",2021,3,733,10898
"2021-Q4",2021,4,622,6236
"2022-Q1",2022,1,626,5845
"2022-Q2",2022,2,534,3869
"2022-Q3",2022,3,473,4125
"2022-Q4",2022,4,392,1459
"2023-Q1",2023,1,391,2356
"2023-Q2",2023,2,355,1783
"2023-Q3",2023,3,298,908
"2023-Q4",2023,4,402,1345
"2024-Q1",2024,1,441,3210
"2024-Q2",2024,2,360,2635
"2024-Q3",2024,3,333,1016
"2024-Q4",2024,4,422,2484
