"nvestee_ompany_ame","nvestee_ompany_ation","nvestee_ompany_conomic_ector","nvestment_ate","ound_umber","nvestment_tage","irm_nvestor_ame","und_nvestor_ame","nvestor_quity_otal_illions","isclosed_und_quity_ontribution_illions","ound_quity_otal_illions","isclosed_ebt_ontribution_illions","eal_alue_illions","eal_ank_alue_illions","year"
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2019-04-23,5,"Expansion","HBM Partners AG","HBM Partners AG - Unspecified Fund",5,0,39,0,0,39,2019
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2019-04-23,5,"Expansion","Kae Capital","Kae Capital Fund II",5,0,39,0,0,39,2019
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2019-04-23,5,"Expansion","Peak Xv Partners","Sequoia Capital India Growth Fund II LP",5,0,39,0,0,39,2019
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2019-04-23,5,"Expansion","Undisclosed Firm","Undisclosed Fund",5,0,39,0,0,39,2019
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2019-04-23,5,"Expansion","Undisclosed Firm","Undisclosed Fund",5,0,39,0,0,39,2019
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2019-04-23,5,"Expansion","Undisclosed Firm","Undisclosed Fund",5,0,39,0,0,39,2019
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2019-04-23,5,"Expansion","Undisclosed Firm","Undisclosed Fund",5,0,39,0,0,39,2019
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2019-04-23,5,"Expansion","Undisclosed Firm","Undisclosed Fund",5,0,39,0,0,39,2019
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2019-06-28,6,"Expansion","HBM Partners AG","HBM Partners AG - Unspecified Fund",9,0,70,0,0,70,2019
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2019-06-28,6,"Expansion","International Finance Corp","International Finance Corp - Unspecified Fund",9,0,70,0,0,70,2019
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2019-06-28,6,"Expansion","Kae Capital","Kae Capital Fund II",9,0,70,0,0,70,2019
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2019-06-28,6,"Expansion","Maverick Capital Ltd","Maverick Capital Equity Partners - Unspecified Fund",9,0,70,0,0,70,2019
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2019-06-28,6,"Expansion","Omidyar Network Commons LLC","Omidyar Network Fund LLC",9,0,70,0,0,70,2019
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2019-06-28,6,"Expansion","Sequoia Capital Operations LLC","Sequoia Capital - Unspecified Fund",9,0,70,0,0,70,2019
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2019-06-28,6,"Expansion","Undisclosed Firm","Undisclosed Fund",9,0,70,0,0,70,2019
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2019-06-28,6,"Expansion","Undisclosed Firm","Undisclosed Fund",9,0,70,0,0,70,2019
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2022-09-06,7,"Expansion","Undisclosed Firm","Undisclosed Fund",1,0,40,0,0,40,2022
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2022-09-06,7,"Expansion","Undisclosed Firm","Undisclosed Fund",32,32,40,0,0,40,2022
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2022-09-06,7,"Expansion","Undisclosed Firm","Undisclosed Fund",2,2,40,0,0,40,2022
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2022-09-06,7,"Expansion","Undisclosed Firm","Undisclosed Fund",2,2,40,0,0,40,2022
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2022-09-06,7,"Expansion","Undisclosed Firm","Undisclosed Fund",2,2,40,0,0,40,2022
"1MG Technologies Pvt Ltd","India","Consumer Cyclicals",2022-09-06,7,"Expansion","Undisclosed Firm","Undisclosed Fund",2,2,40,0,0,40,2022
"1t9 Technology Pvt Ltd","India","Financials",2024-02-06,5,"Expansion","100Unicorns","100Unicorns - Unspecified Fund",1,0,10,0,0,10,2024
"1t9 Technology Pvt Ltd","India","Financials",2024-02-06,5,"Expansion","Gmo Venturepartners Co Ltd","GMO Venture Partners - Unspecified Fund",1,0,10,0,0,10,2024
"1t9 Technology Pvt Ltd","India","Financials",2024-02-06,5,"Expansion","Prime Venture Partners","Prime Venture Partners - Unspecified Fund",1,0,10,0,0,10,2024
"1t9 Technology Pvt Ltd","India","Financials",2024-02-06,5,"Expansion","Turbostart Global Events LLP","Turbostart - Unspecified Fund",1,0,10,0,0,10,2024
"1t9 Technology Pvt Ltd","India","Financials",2024-02-06,5,"Expansion","Undisclosed Firm","Undisclosed Fund",1,0,10,0,0,10,2024
"1t9 Technology Pvt Ltd","India","Financials",2024-02-06,5,"Expansion","Undisclosed Firm","Undisclosed Fund",1,0,10,0,0,10,2024
"1t9 Technology Pvt Ltd","India","Financials",2024-02-06,5,"Expansion","Z47","Matrix Partners India IV, L.P.",1,0,10,0,0,10,2024
"247 Learning Solutions Pvt  Ltd (Aka  24x7 Learning)","India","Technology",2007-10-06,1,"Expansion","Capital18","Capital18 - Unspecified Fund",4,4,4,0,0,4,2007
"3C Residential Project","India","Consumer Cyclicals",2012-02-22,1,"Real Estate","Red Fort Capital Advisors Pvt Ltd","Red Fort India Real Estate Fund II LLC",30,30,30,0,0,30,2012
"3M India Ltd","India","Consumer Non-Cyclicals",2005-10-03,1,"LBO","Bridgepoint Advisers II Ltd","Hermes Private Equity Partners II",109,109,109,0,109,109,2005
"4Basecare Genomics Pvt Ltd","India","Healthcare",2024-08-12,2,"Expansion","Undisclosed Firm","Undisclosed Fund",3,0,6,0,0,6,2024
"4Basecare Genomics Pvt Ltd","India","Healthcare",2024-08-12,2,"Expansion","Yali Capital","Yali Capital",3,0,6,0,0,6,2024
"4Basecare Genomics Pvt Ltd","India","Healthcare",2024-12-15,3,"Expansion","Infosys Ltd","Infosys Innovation Fund",0,0,0,0,0,0,2024
"5c Network Pvt Ltd","India","Healthcare",2020-12-08,1,"Expansion","Axilor Ventures Pvt Ltd","Axilor Ventures Pvt Ltd - Unspecified Fund",1,0,1,0,0,1,2020
"5c Network Pvt Ltd","India","Healthcare",2020-12-08,1,"Expansion","Unitus Ventures Advisors Llp","Unitus Ventures Fund II",1,0,1,0,0,1,2020
"5c Network Pvt Ltd","India","Healthcare",2022-07-30,2,"Expansion","Undisclosed Firm","Undisclosed Fund",3,0,3,0,0,3,2022
"5c Network Pvt Ltd","India","Healthcare",2022-10-12,3,"Expansion","Axilor Ventures Pvt Ltd","Axilor Ventures Pvt Ltd - Unspecified Fund",2,0,5,0,0,5,2022
"5c Network Pvt Ltd","India","Healthcare",2022-10-12,3,"Expansion","Celesta Global Capital Managers LLC","Celesta Global Capital Managers LLC - Unspecified Fund",2,0,5,0,0,5,2022
"5c Network Pvt Ltd","India","Healthcare",2022-10-12,3,"Expansion","Unitus Ventures Advisors Llp","UV III GP LLC",2,0,5,0,0,5,2022
"60 Decibels Inc","India","Consumer Cyclicals",2021-12-23,1,"Acquisition","FPE Capital LLP","FPE Fund II",0,0,0,0,0,0,2021
