"company","total_exits","total_exit_value","avg_exit_value"
"Healthium Medtech Ltd",3,342562439160,114187479720
"Newgen Imaging Systems",3,342560928095,114186976031.667
"PhonePe Pvt Ltd",2,308175522630,154087761315
"FirstMeridian Business Services Pvt Ltd",2,308175480445,154087740222.5
"Sahajanand Medical Technologies Limited",2,308175227311,154087613655.5
"Five-Star Business Finance Ltd",2,308174358956,154087179478
"Bharat Serums & Vaccines Ltd",2,308174019062,154087009531
"Manjushree Technopack Ltd",2,308173758033,154086879016.5
"Sahyadri Hospital Pvt Ltd",2,308172999146,154086499573
"L&T Infrastructure Development Projects Ltd",2,308172767379,154086383689.5
"TBO Tek Ltd",2,308172580382,154086290191
"TNT India Ltd",2,308172437289,154086218644.5
"Nykaa E-Retail Pvt Ltd",2,308172209932,154086104966
"Renew Power Pvt Ltd",2,308172007464,154086003732
"Shubham Housing Development Finance Company Ltd",2,308171313899,154085656949.5
"TVS Supply Chain Solutions Ltd",2,308170472732,154085236366
"AGS Transact Technologies Ltd",2,308169979434,154084989717
"Nuvoco Vistas Corporation Ltd",2,308169704048,154084852024
"Sbi Cards & Payment Services Limited",2,308168599623,154084299811.5
"Allcargo Logistics Ltd",2,308168010900,154084005450
"Ujjivan Financial Services Ltd",2,308167814803,154083907401.5
"PVR Ltd",2,308167653499,154083826749.5
"Shriram Properties Ltd",2,308167618097,154083809048.5
"Global Health Ltd",2,188480335882,94240167941
"Ocean Sparkle Limited",2,188479384032,94239692016
"Emcure Pharmaceuticals Ltd",2,188479110335,94239555167.5
"Computer Age Management Services Limited",2,188478449879,94239224939.5
"AVTEC Ltd",2,188477950507,94238975253.5
"Claris Lifesciences Ltd",2,188477935496,94238967748
"Arohan Financial Services Ltd",2,188477840604,94238920302
"Intelenet Global Services Pvt Ltd",2,188477085205,94238542602.5
"Miles Software Solutions Pvt Ltd",2,188476954063,94238477031.5
"Tejas Networks Ltd",2,188476662068,94238331034
"MindTree Ltd",2,188476569431,94238284715.5
"Symbiotec Pharmalab Pvt Ltd",2,188476022611,94238011305.5
"Continental Warehousing Corporation Ltd",2,188475173234,94237586617
"Sharekhan Ltd",2,188474635182,94237317591
"Metropolis Healthcare Ltd",2,188474225492,94237112746
"Sfo Technologies",2,188474045586,94237022793
"Intelligencenode Consulting Pvt Ltd",1,154088729146,154088729146
"Core Diagnostics Pvt Ltd",1,154088724008,154088724008
"Naturell (India) Pvt Ltd",1,154088679987,154088679987
"Eris Lifesciences Ltd",1,154088593129,154088593129
"Hdfc Credila Financial Services Ltd",1,154088585775,154088585775
"Spalon India Pvt Ltd",1,154088554771,154088554771
"SAI Life Sciences Ltd",1,154088552954,154088552954
"Premier Energies Ltd",1,154088410201,154088410201
"Zinka Logistics Solutions Pvt Ltd",1,154088405443,154088405443
"Nepra Resource Management Pvt Ltd",1,154088396739,154088396739
"Vidal Healthcare Services Pvt Ltd",1,154088372695,154088372695
"Pivoting Softwares Pvt Ltd",1,154088366074,154088366074
"Camden Town Technologies Pvt Ltd",1,154088363019,154088363019
"Unicommerce eSolutions Pvt Ltd",1,154088353358,154088353358
"Niva Bupa Health Insurance Co Ltd",1,154088349257,154088349257
"Savaari Car Rentals Pvt Ltd",1,154088286985,154088286985
"Gopal Snacks Ltd",1,154088281549,154088281549
"Avanse Financial Services Ltd",1,154088260158,154088260158
"Waaree Energies Ltd",1,154088182464,154088182464
"Akums Drugs & Pharmaceuticals Ltd",1,154088176065,154088176065
"Flathead Designs Pvt Ltd",1,154088167072,154088167072
"Videonetics Technology Pvt Ltd",1,154088162932,154088162932
"Good Memories Pvt Ltd",1,154088157662,154088157662
"House Of Kieraya Ltd",1,154088156224,154088156224
"Barrix Agro Sciences Pvt Ltd",1,154088151998,154088151998
"Krsv Innovative Auto Solutions Pvt Ltd",1,154088145627,154088145627
"India Shelter Finance Corporation Ltd",1,154088124990,154088124990
"Route Mobile Ltd",1,154088117011,154088117011
"Vidgyor Media Technologies Pvt Ltd",1,154088113083,154088113083
"Stark Enterprises Pvt Ltd",1,154088075815,154088075815
"Happily Unmarried Marketing Pvt Ltd",1,154088066081,154088066081
"Leap India Pvt Ltd",1,154088017065,154088017065
"Simplify360",1,154087987354,154087987354
"Stellar Value Chain Solutions Pvt Ltd",1,154087982226,154087982226
"Shorebird Technologies Pvt Ltd",1,154087964668,154087964668
"Capital Foods Pvt Ltd",1,154087958863,154087958863
"Targetone Innovations Pvt Ltd",1,154087951038,154087951038
"Flutura Business Solutions Pvt Ltd",1,154087942560,154087942560
"Aves Shopping Network Pvt Ltd",1,154087942430,154087942430
"Pickright Technologies Pvt Ltd",1,154087941064,154087941064
"Epack Durable Pvt Ltd",1,154087940798,154087940798
"Capricorn MeraCashier Pvt Ltd",1,154087911379,154087911379
"Paradise Food Court Pvt Ltd",1,154087906446,154087906446
"Sonata Finance Pvt Ltd",1,154087903289,154087903289
"Rent Alpha Pvt Ltd",1,154087896161,154087896161
"J M Baxi & Co Pvt Ltd",1,154087888133,154087888133
"Stanley Lifestyles Ltd",1,154087878511,154087878511
"Chumbak Design Pvt Ltd",1,154087878265,154087878265
"Kiwhode Learning Pvt Ltd",1,154087870253,154087870253
"Digikredit Finance Pvt. Ltd",1,154087868660,154087868660
"Rishabh Instruments Pvt Ltd",1,154087865428,154087865428
"Kurlon Enterprise Ltd",1,154087862274,154087862274
"Infocredit Services Pvt Ltd",1,154087846657,154087846657
"Zywie Ventures Pvt Ltd",1,154087839641,154087839641
"RR Kabel Ltd",1,154087834550,154087834550
"Vector Green Energy Pvt Ltd",1,154087816164,154087816164
"Tanvi Fitness Pvt Ltd",1,154087808899,154087808899
"Virescent Infrastructure Investment Manager Pvt Ltd",1,154087790490,154087790490
"A.M Marketplaces Pvt Ltd",1,154087789347,154087789347
"Zoomcar India Pvt Ltd",1,154087786377,154087786377
"Ideaforge Technology Pvt Ltd",1,154087711918,154087711918
"Vistaar Financial Services Pvt Ltd",1,154087709302,154087709302
"Epione Healthcare Pvt Ltd",1,154087703092,154087703092
"Concord Biotech Limited",1,154087673673,154087673673
"Eruvaka Technologies Pvt Ltd",1,154087662807,154087662807
"Harappa Learning Pvt Ltd",1,154087651797,154087651797
