"company","total_deals","total_investment","avg_deal_size","first_investment","last_investment"
"Jio Platforms Ltd",11,19811,1801,2020,2020
"Reliance Retail Ltd",27,6278,232.518518518519,2020,2023
"Hexaware Technologies Ltd",7,3528,504,2006,2024
"Bundl Technologies Pvt Ltd",40,3525,88.125,2018,2021
"Bharti Airtel Ltd",3,2705,901.666666666667,2007,2022
"Flipkart Online Services Pvt Ltd",35,2389,68.2571428571429,2010,2014
"Data Infrastructure Trust",7,2215,316.428571428571,2020,2024
"ANI Technologies Pvt Ltd",25,2077,83.08,2014,2017
"Greenko Energy Holdings",23,1945,84.5652173913043,2009,2023
"Pipeline Infrastructure Pvt Ltd",1,1874,1874,2019,2019
"DLF Cyber City Developers Ltd",2,1390,695,2017,2021
"Axelia Solutions Pvt Ltd",42,1371,32.6428571428571,2018,2022
"Mohalla Tech Pvt Ltd",37,1369,37,2019,2024
"Kiranakart Technologies Pvt Ltd",30,1355,45.1666666666667,2024,2024
"Oravel Stays Ltd",13,1325,101.923076923077,2015,2019
"Yes Bank Ltd",5,1312,262.4,2007,2024
"Meesho Payments Pvt Ltd",25,1272,50.88,2019,2024
"Uniphos Enterprises Limited",5,1200,240,2018,2022
"Axis Bank Ltd",2,1060,530,2017,2017
"Hiveloop Technology Pvt Ltd",48,1060,22.0833333333333,2020,2024
"Renew Power Pvt Ltd",16,1041,65.0625,2011,2023
"Snapdeal Ltd",35,1034,29.5428571428571,2011,2016
"Lenskart Solutions Pvt Ltd",32,1033,32.28125,2011,2024
"PhonePe Pvt Ltd",15,1022,68.1333333333333,2020,2023
"Jio Digital Fibre Pvt Ltd",2,1016,508,2020,2020
"Hyundai Motor India Ltd",4,989,247.25,2024,2024
"Intas Pharmaceuticals Ltd",7,966,138,2006,2022
"Pine Labs Pvt Ltd",51,964,18.9019607843137,2008,2023
"Cars24 Services Pvt Ltd",21,920,43.8095238095238,2019,2021
"Sheth Developers Pvt., Ltd. - Residential Project",1,900,900,2012,2012
"OFB Tech Pvt Ltd",23,846,36.7826086956522,2019,2021
"Global Village Tech Park",3,820,273.333333333333,2019,2020
"Sorting Hat Technologies Pvt Ltd",36,802,22.2777777777778,2019,2022
"Ola Electric Mobility Pvt Ltd",22,750,34.0909090909091,2021,2023
"Gujarat Titans",1,746,746,2021,2021
"ICICI Bank Ltd",3,742,247.333333333333,2007,2015
"Razorpay Software Pvt Ltd",57,737,12.9298245614035,2018,2023
"Sbi Life Insurance Company Ltd",3,735,245,2016,2019
"Ayana Renewable Power Pvt Ltd",10,720,72,2018,2021
"Bharti Enterprises - Commercial Properties Portfolio (4)",1,659,659,2022,2022
"Mumbai Economic Development Zone",1,630,630,2007,2007
"HLV Ltd",1,576,576,2019,2019
"Truhome Finance Ltd",5,573,114.6,2012,2024
"RBL Bank Ltd",30,538,17.9333333333333,2011,2020
"Zetwerk Manufacturing Businesses Pvt Ltd",21,534,25.4285714285714,2022,2024
"Tata Power Renewable Energy Ltd",2,524,262,2022,2022
"Valuedrive Technologies Pvt Ltd",37,513,13.8648648648649,2019,2022
"Mahindra & Mahindra Ltd - Ev Business",2,500,250,2022,2022
"Radiant Life Care Pvt Ltd",3,495,165,2017,2019
"Tata Motors Electric Mobility Ltd",4,494,123.5,2022,2023
"SBI General Insurance Co Ltd",11,478,43.4545454545455,2020,2023
"Jana Small Finance Bank Ltd",34,455,13.3823529411765,2011,2022
"Azure Power Rooftop Pvt Ltd",9,441,49,2011,2021
"Biocon Ltd",4,430,107.5,2020,2023
"Delightful Gourmet Pvt Ltd",25,424,16.96,2019,2022
"Housing Development Finance Corporation Ltd",4,424,106,2007,2018
"Cleanmax Enviro Energy Solutions Pvt Ltd",18,421,23.3888888888889,2017,2024
"Busybees Logistics Solutions Pvt Ltd",10,419,41.9,2019,2022
"Kotak Mahindra Bank Ltd",10,418,41.8,2006,2017
"Avanse Financial Services Ltd",9,415,46.1111111111111,2019,2024
"Infospace IT SEZ",1,414,414,2013,2013
"Shriram Finance Ltd",10,408,40.8,2009,2015
"Zomato Ltd",16,407,25.4375,2013,2018
"NTEX Transportation Services Pvt Ltd",8,405,50.625,2021,2022
"Upgrad Education Pvt Ltd",26,405,15.5769230769231,2020,2024
"M2P Solutions Pvt Ltd",22,392,17.8181818181818,2020,2024
"Urbanclap Technologies India Pvt Ltd",14,377,26.9285714285714,2018,2021
"Coforge Ltd",1,374,374,2019,2019
"Hero Fincorp Ltd",6,370,61.6666666666667,2016,2022
"Apraava Energy Pte Ltd",5,367,73.4,2018,2022
"India Grid Trust",13,363,27.9230769230769,2019,2023
"Future Lifestyle Fashions Ltd",2,354,177,2018,2019
"Blinkit India Pvt Ltd",14,353,25.2142857142857,2017,2022
"NoBroker Technologies Solutions Pvt Ltd",9,351,39,2019,2021
"Aircel Cellular Ltd",2,350,175,2005,2005
"Reliance Telecom Infrastructure Ltd",9,350,38.8888888888889,2007,2012
"Mintifi Pvt Ltd",15,347,23.1333333333333,2021,2024
"Dunzo Digital Pvt Ltd",34,345,10.1470588235294,2018,2022
"Roppen Transportation Services Pvt Ltd",30,340,11.3333333333333,2019,2022
"Nextbillion Technology Pvt Ltd",14,337,24.0714285714286,2021,2021
"Garagepreneurs Internet Pvt Ltd",42,335,7.97619047619048,2019,2024
"Finnovation Tech Solutions Pvt Ltd",13,332,25.5384615384615,2021,2023
"IIFL Finance Ltd",5,323,64.6,2007,2016
"Future Enterprises Ltd",5,311,62.2,2012,2018
"Dr. Agarwals Eye Hospital Ltd",8,310,38.75,2012,2023
"EQX Analytics Pvt Ltd",17,306,18,2021,2023
"Bharti Telemedia Ltd",1,302,302,2018,2018
"Bitcipher Labs LLP",14,302,21.5714285714286,2021,2021
"Indus Towers Ltd",19,301,15.8421052631579,2007,2017
"Chemplast Sanmar Ltd",1,300,300,2018,2018
"Ecom Express Pvt Ltd",14,300,21.4285714285714,2014,2023
"Hella Infra Market Pvt Ltd",23,300,13.0434782608696,2019,2024
"Memg International India Pvt Ltd",2,300,150,2015,2015
"Renkube",3,300,100,2022,2022
"Tower Vision India Pvt Ltd",3,300,100,2008,2010
"Jubilant Pharmova Ltd",3,297,99,2005,2012
"Delhivery Pvt Ltd",15,295,21.0714285714286,2017,2021
"IndoStar Capital Finance Ltd",7,295,42.1428571428571,2011,2020
"Sanghvi Technologies Pvt Ltd",35,291,8.31428571428571,2019,2024
"Serentica Renewables Pvt Ltd",3,289,96.3333333333333,2022,2024
"BANDHAN FINANCIAL SERVICES Ltd",4,288,72,2011,2015
"ICICI Lombard General Insurance Company Ltd",2,282,141,2015,2017
"Imagine Marketing Ltd",9,277,30.7777777777778,2020,2022
"Hero Future Energies Global Ltd",5,276,55.2,2017,2022
"L&T Finance Holdings Ltd",2,274,137,2011,2015
"Diverse Retails Pvt Ltd",42,272,6.47619047619048,2020,2022
"Droom Technology Pvt Ltd",18,272,15.1111111111111,2018,2021
"Home Interior Designs E-Commerce Pvt Ltd",20,270,13.5,2015,2022
"Varun Beverages Ltd",4,263,65.75,2011,2015
"Edelweiss Financial Services Ltd",18,259,14.3888888888889,2011,2020
"National Stock Exchange Of India Ltd",18,259,14.3888888888889,2007,2024
"63Ideas Infolabs Pvt Ltd",11,258,23.4545454545455,2019,2022
"Kogta Financial India Ltd",7,258,36.8571428571429,2022,2024
"Vastu Housing Finance Corporation Ltd",10,255,25.5,2021,2024
"ACKO Technology & Services Pvt Ltd",11,252,22.9090909090909,2022,2024
"Stel Communication Ltd",3,240,80,2009,2009
"Tanglin Developments - Global Village Technology Park",1,239,239,2020,2020
"Capital First Ltd",9,238,26.4444444444444,2012,2016
"Five-Star Business Finance Ltd",15,238,15.8666666666667,2016,2022
"Vistaar Financial Services Pvt Ltd",15,233,15.5333333333333,2012,2024
"Ostro Energy Pvt Ltd",2,230,115,2015,2016
"Primestack Pte. Ltd",15,230,15.3333333333333,2021,2022
"Zinka Logistics Solutions Pvt Ltd",20,230,11.5,2019,2021
"Perfios Software Solutions Pvt Ltd",5,229,45.8,2022,2024
"Max Financial Services Ltd",5,227,45.4,2005,2016
"PVR Ltd",11,227,20.6363636363636,2008,2020
"Credavenue Pvt Ltd",13,226,17.3846153846154,2021,2022
"Waycool Foods & Products Pvt Ltd",29,225,7.75862068965517,2019,2024
"HCL Technologies Ltd",1,220,220,2008,2008
"Profectus Capital Pvt Ltd",1,220,220,2018,2018
"Quippo Infrastructure Equipment, Ltd.",6,218,36.3333333333333,2007,2008
"Girnar Insurance Brokers Pvt Ltd",21,215,10.2380952380952,2023,2023
"Smartpaddle Technology Pvt Ltd",31,214,6.90322580645161,2019,2022
"Merabo Labs Pvt Ltd",9,213,23.6666666666667,2021,2022
"Coffee Day Enterprises Ltd",3,210,70,2010,2010
"RMZ Corp",1,210,210,2021,2021
"Computer Age Management Services Limited",4,208,52,2007,2020
"Open Financial Technologies Pvt Ltd",14,208,14.8571428571429,2021,2022
"Cholamandalam Investment and Finance Company Ltd",11,207,18.8181818181818,2010,2020
"Camden Town Technologies Pvt Ltd",35,206,5.88571428571429,2019,2022
"Gland Pharma Ltd",3,205,68.3333333333333,2008,2014
"Dr. Lal PathLabs Ltd",6,204,34,2005,2021
"Supermarket Grocery Supplies Pvt Ltd",22,204,9.27272727272727,2015,2020
"Global Health Ltd",4,203,50.75,2006,2021
"Rivigo Services Pvt Ltd",14,203,14.5,2018,2022
"CCOT",1,200,200,2008,2008
"Embassy Business Parks (3)",1,200,200,2012,2012
"Embassy TechVillage",2,200,100,2014,2014
"Go Digit General Insurance Ltd",4,200,50,2021,2021
"Honasa Consumer Pvt Ltd",29,200,6.89655172413793,2020,2023
"Infosys Ltd",1,200,200,2008,2008
"Manyata Promoters Pvt., Ltd.",1,200,200,2011,2011
"Turtlemint Insurance Broking Services Pvt Ltd",28,199,7.10714285714286,2019,2022
"Apollo Tyres Limited",5,198,39.6,2019,2021
"Kalyan Jewellers India Ltd",2,198,99,2014,2017
"OXYZO Financial Services Limited",6,198,33,2022,2022
"ASG Hospital Pvt Ltd",5,197,39.4,2013,2023
"Apollo Hospitals Enterprise Ltd",6,196,32.6666666666667,2007,2013
"Cartrade Tech Ltd",12,195,19.5,2014,2016
"Star Health and Allied Insurance Company Ltd",9,194,21.5555555555556,2013,2021
"Tata Technologies Ltd",3,194,64.6666666666667,2023,2023
"Laurus Labs Ltd",2,190,95,2012,2014
"MphasiS Ltd",6,188,31.3333333333333,2009,2021
"Twenty Two Motors Pvt Ltd",24,188,7.83333333333333,2018,2020
"CSB Bank Ltd",1,187,187,2018,2018
"GMR Energy Ltd",2,184,92,2014,2014
"Hathway Cable and Datacom Ltd",7,181,25.8571428571429,2007,2015
"Onesource Specialty Pharma Ltd",15,181,12.0666666666667,2014,2024
"IDFC Ltd",2,180,90,2010,2010
"Mahindra & Mahindra, Ltd.",2,180,90,2008,2019
"Anant Raj Agencies Pvt Ltd",3,175,58.3333333333333,2009,2022
"Hike Ltd",5,175,35,2016,2016
"Rupeek Fintech Pvt Ltd",25,175,7,2019,2022
"Havells India Ltd",9,172,19.1111111111111,2007,2011
"Vini Cosmetics Pvt Ltd",3,172,57.3333333333333,2017,2021
"Appasamy Associates Pvt Ltd",2,170,85,2024,2024
"Pocket FM Pvt Ltd",5,170,34,2022,2024
"Pepperfry Pvt Ltd",11,169,15.3636363636364,2015,2021
"Krishna Institute Of Medical Sciences Ltd",3,166,55.3333333333333,2014,2021
"Lendingkart Technologies Pvt Ltd",15,165,11,2018,2023
"TCNS Clothing Co Ltd",2,165,82.5,2016,2021
"Adani Krishnapatnam Port Ltd",1,161,161,2009,2009
"Stellar Value Chain Solutions Pvt Ltd",6,160,26.6666666666667,2016,2022
"Assetz Global Technology Park (AGTP)",1,158,158,2011,2011
"Piramal Realty",1,157,157,2015,2015
"Archean Chemical Industries Pvt Ltd",2,156,78,2014,2018
"Bunch Microtechnologies Pvt Ltd",30,156,5.2,2019,2022
"Jain Irrigation Systems Ltd",5,156,31.2,2009,2016
"GVK Energy Ltd",2,154,77,2010,2010
"1MG Technologies Pvt Ltd",22,153,6.95454545454545,2019,2022
"DLF Ackruti Info Parks (Pune), Ltd.",1,153,153,2011,2011
"Narayana Hrudayalaya Ltd",4,153,38.25,2008,2022
"Oberoi Constructions Ltd",1,153,153,2007,2007
"Redcliffe Lifetech Pvt Ltd",13,153,11.7692307692308,2022,2024
"Equitas Holdings Ltd",16,152,9.5,2010,2014
"Imperial Auto Industries Ltd",2,151,75.5,2022,2023
